,bps_kota_nama,latitude,longitude,bps_kota_nama_shp
0,Kabupaten Bogor,-6.479679,106.824965,Bogor
1,Kabupaten Sukabumi,-6.915727,106.932576,Sukabumi
2,Kabupaten Cianjur,-6.822558,107.139542,Cianjur
3,Kabupaten Bandung,-7.012851,107.528627,Bandung
4,Kabupaten Garut,-7.202988,107.885592,Garut
5,Kabupaten Tasikmalaya,-7.361212,108.112488,Tasikmalaya
6,Kabupaten Ciamis,-7.325788,108.3514,Ciamis
7,Kabupaten Kuningan,-6.976233,108.482982,Kuningan
8,Kabupaten Cirebon,-6.764507,108.478858,Cirebon
9,Kabupaten Majalengka,-6.836531,108.227876,Majalengka
10,Kabupaten Sumedang,-6.861126,107.920102,Sumedang
11,Kabupaten Indramayu,-6.327234,108.322903,Indramayu
12,Kabupaten Subang,-6.571549,107.762495,Subang
13,Kabupaten Purwakarta,-6.551701,107.446541,Purwakarta
14,Kabupaten Karawang,-6.301721,107.30529,Karawang
15,Kabupaten Bekasi,-6.364614,107.172509,Bekasi
16,Kabupaten Bandung Barat,-6.840651,107.512302,BandungBarat
17,Kabupaten Pangandaran,-7.701397,108.495155,Pangandaran
18,Kota Bogor,-6.594946,106.794913,KotaBogor
19,Kota Sukabumi,-6.918366,106.931496,KotaSukabumi
20,Kota Bandung,-6.910786,107.609757,KotaBandung
21,Kota Cirebon,-6.707076,108.557818,KotaCirebon
22,Kota Bekasi,-6.236221,106.994293,KotaBekasi
23,Kota Depok,-6.394473,106.822692,KotaDepok
24,Kota Cimahi,-6.87121,107.555486,KotaCimahi
25,Kota Tasikmalaya,-7.316436,108.1971,KotaTasikmalaya
26,Kota Banjar,-7.362487,108.55887,KotaBanjar
